longitude,latitude,IPaddress
59.3294,18.0687,193.189.100.198
59.3294,18.0687,193.189.100.196
59.3294,18.0687,193.189.100.197
48.2085,16.3721,109.70.100.52
48.2085,16.3721,109.70.100.49
48.2085,16.3721,109.70.100.51
48.2085,16.3721,109.70.100.50
42.3751,-71.1056,128.31.0.13
45.5040,-73.5747,142.44.133.80
25.0478,121.5319,219.91.20.79
49.6117,6.1300,104.244.76.170
59.3294,18.0687,88.80.20.86
32.7831,-96.8067,199.249.230.67
32.7831,-96.8067,199.249.230.178
32.7831,-96.8067,199.249.230.66
32.7831,-96.8067,199.249.230.73
32.7831,-96.8067,199.249.230.177
32.7831,-96.8067,199.249.230.116
32.7831,-96.8067,199.249.230.88
32.7831,-96.8067,199.249.230.150
32.7831,-96.8067,199.249.230.72
32.7831,-96.8067,199.249.230.161
32.7831,-96.8067,199.249.230.86
32.7831,-96.8067,199.249.230.69
32.7831,-96.8067,199.249.230.155
32.7831,-96.8067,199.249.230.175
32.7831,-96.8067,199.249.230.112
32.7831,-96.8067,199.249.230.110
32.7831,-96.8067,199.249.230.78
32.7831,-96.8067,199.249.230.87
47.4018,-122.3243,147.135.105.62
47.0056,28.8575,178.175.148.148
52.5650,13.7281,185.220.101.15
52.5650,13.7281,185.220.101.9
52.5650,13.7281,185.220.101.16
52.5650,13.7281,185.220.101.8
52.5650,13.7281,185.220.101.15
47.0056,28.8575,178.17.171.124
22.2783,114.1747,27.122.59.86
-36.8485,174.7635,101.100.146.147
52.5244,13.4105,185.220.102.241
52.5244,13.4105,185.220.102.245
52.5244,13.4105,185.220.102.246
52.5244,13.4105,185.220.102.244
52.5244,13.4105,185.220.102.245
52.5244,13.4105,185.220.102.246
52.5244,13.4105,185.220.102.241
52.5244,13.4105,185.220.102.247
52.5244,13.4105,185.220.102.247
52.5244,13.4105,185.220.102.243
52.5244,13.4105,185.220.102.244
52.5244,13.4105,185.220.102.242
52.5244,13.4105,185.220.102.242
52.5244,13.4105,185.220.102.240
52.5244,13.4105,185.220.102.243
52.5244,13.4105,185.220.102.240
49.0016,2.0969,51.210.34.150
59.3294,18.0687,193.239.232.101
37.5660,126.9784,103.249.28.195
52.3740,4.8897,5.206.224.64
37.3688,-122.0363,71.19.154.84
50.2667,8.4500,89.144.12.17
35.0527,-78.8784,64.113.32.29
42.6975,23.3241,185.205.210.245
48.8534,2.3488,163.172.29.30
40.7143,-74.0060,198.98.50.112
60.1695,24.9354,37.228.129.5
40.8223,-74.4569,45.79.144.222
33.4484,-112.0740,204.17.56.42
19.4285,-99.1277,189.131.248.126
19.4285,-99.1277,189.131.234.72
52.3740,4.8897,5.2.78.69
48.2085,16.3721,109.70.100.53
48.2085,16.3721,109.70.100.56
48.2085,16.3721,109.70.100.58
48.2085,16.3721,109.70.100.59
48.2085,16.3721,109.70.100.60
48.2085,16.3721,109.70.100.55
48.2085,16.3721,109.70.100.54
48.2085,16.3721,109.70.100.57
49.6117,6.1300,107.189.30.86
36.1750,-115.1372,209.141.46.38
33.4484,-112.0740,204.17.56.42
49.2803,11.4628,185.220.101.133
49.2803,11.4628,185.220.101.134
49.2803,11.4628,185.220.101.139
49.2803,11.4628,185.220.101.146
49.2803,11.4628,185.220.101.211
52.3740,4.8897,45.151.167.10
52.3808,4.6368,51.15.59.15
40.4406,-79.9959,24.3.110.224
51.9540,7.0048,92.246.84.133
36.1725,-115.1414,205.185.124.200
49.6117,6.1300,104.244.74.28
50.4547,30.5238,176.107.179.147
48.8534,2.3488,185.34.33.2
42.3584,-71.0598,192.34.80.176
40.7143,-74.0060,199.195.254.254
9.9333,-84.0833,200.122.181.2
50.4547,30.5238,193.218.118.90
50.4547,30.5238,193.218.118.100
47.3828,8.5307,31.7.61.190
47.3828,8.5307,31.7.61.186
47.3828,8.5307,31.7.61.187
47.3828,8.5307,31.7.61.189
47.3828,8.5307,31.7.61.188
45.4643,9.1895,92.223.93.145
40.7143,-74.0060,198.98.60.90
36.1750,-115.1372,209.141.58.50
49.2803,11.4628,185.220.101.219
49.2803,11.4628,185.220.101.218
49.2803,11.4628,185.220.101.220
49.2803,11.4628,185.220.101.217
49.2803,11.4628,185.220.101.219
49.2803,11.4628,185.220.101.216
49.2803,11.4628,185.220.101.218
49.2803,11.4628,185.220.101.150
49.2803,11.4628,185.220.101.150
49.2803,11.4628,185.220.101.149
47.0056,28.8575,178.17.174.164
50.1155,8.6842,45.91.101.18
59.3294,18.0687,45.154.255.147
52.3740,4.8897,45.151.167.10
41.4995,-81.6954,23.120.182.124
41.4995,-81.6954,23.120.182.125
41.4995,-81.6954,23.120.182.123
49.2803,11.4628,185.220.101.203
49.2803,11.4628,185.220.101.210
49.2803,11.4628,185.220.101.151
49.2803,11.4628,185.220.101.211
49.2803,11.4628,185.220.101.193
49.2803,11.4628,185.220.101.208
49.2803,11.4628,185.220.101.198
49.2803,11.4628,185.220.101.206
47.0056,28.8575,178.17.174.13
49.6117,6.1300,104.244.73.13
49.6117,6.1300,104.244.73.13
49.6117,6.1300,107.189.11.153
49.6117,6.1300,107.189.11.153
49.6117,6.1300,104.244.74.121
49.6117,6.1300,104.244.74.121
49.6117,6.1300,104.244.73.93
49.6117,6.1300,104.244.73.93
52.3740,4.8897,45.153.160.129
52.3740,4.8897,45.153.160.130
47.3667,8.5500,81.6.43.167
52.0767,4.2986,5.2.77.22
40.7143,-74.0060,199.195.254.81
40.7143,-74.0060,199.195.254.81
49.6117,6.1300,104.244.73.205
49.6117,6.1300,104.244.73.205
52.2289,21.0519,51.83.131.42
